Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696ebbfb24c93378939d9785,695fcea7a80091f158646750,AWAITING REVIEW,Not Applicable,2026-01-19T23:19:38.623000Z,2026-01-19T23:34:02.498000Z,,2026-01-19T23:34:02.843403Z,864.0,2B73928C,87,36,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time
696ebceb40f9101196f6f136,59a734ce0c87a000017481ed,AWAITING REVIEW,Not Applicable,2026-01-19T23:23:31.838000Z,2026-01-19T23:35:09.458000Z,,2026-01-19T23:35:09.798134Z,698.0,2B73928C,3101,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
696ebcec041f7d88f187e243,56153d5e7ffc8a000a811ba8,RETURNED,Not Applicable,2026-01-19T23:23:31.574000Z,,,2026-01-19T23:49:20.768421Z,,,4153,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ebd50597c0bff057ddbca,664232499edbff76093f6a37,RETURNED,Not Applicable,,,,2026-01-19T23:49:20.772305Z,,,2897,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ebed38c4ada0c03984ac1,696a1c07f0fcd9807e159abb,AWAITING REVIEW,Not Applicable,2026-01-19T23:31:31.612000Z,2026-01-19T23:47:04.189000Z,,2026-01-19T23:47:04.523167Z,933.0,2B73928C,0,40,Male,White,Germany,United Kingdom,DATA_EXPIRED,English,No,Unemployed (and job seeking)
696ebedba4665c9dfb5039a2,61219fd8387ca59d07e0dc1c,RETURNED,Not Applicable,2026-01-19T23:31:47.454000Z,,,2026-01-19T23:49:20.770827Z,,,8562,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ebf23866ef87b1b1ac9d1,5b5a822e1ad8270001c4f28d,RETURNED,Not Applicable,2026-01-19T23:32:55.168000Z,,,2026-01-19T23:49:20.773335Z,,,16326,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ec218ea9bf4b3231a7f8c,69417bc87556092fff345887,RETURNED,Not Applicable,2026-01-19T23:45:31.514000Z,,,2026-01-19T23:49:20.776589Z,,,429,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ec2372516319d490d5e61,677c5e96582459bcf49e80da,AWAITING REVIEW,Not Applicable,2026-01-19T23:46:03.320000Z,2026-01-20T00:00:45.814000Z,,2026-01-20T00:00:46.219401Z,883.0,2B73928C,2505,63,Female,White,United States,United States,United States,English,No,Other
696ec4e611bd9d38c0d90076,5f3ae136d5f38f7a5f3f6295,AWAITING REVIEW,Not Applicable,2026-01-19T23:57:33.960000Z,2026-01-20T00:11:22.413000Z,,2026-01-20T00:11:22.750026Z,829.0,2B73928C,423,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
