Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
683c45d512d48754e9b3489a,683735a1d92eafa1ffbf9348,APPROVED,Not Applicable,2025-06-01T12:22:13.960000Z,2025-06-01T12:38:40.961000Z,2025-06-22T00:01:20.962000Z,2025-06-01T12:38:41.471005Z,988.0,2B73928C,18,22,Female,Black,United States,United States,United States,English,Yes,Part-Time
683c473d0bf40252064c9d08,5c0873675b32d500012e3f2c,APPROVED,Not Applicable,2025-06-01T12:27:41.972000Z,2025-06-01T12:57:29.651000Z,2025-06-22T00:01:21.414000Z,2025-06-01T12:57:30.157706Z,1788.0,2B73928C,3780,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
683c47ae9574af3c48cbf056,5ea32a0ea7b59a0c92e82ac8,APPROVED,Not Applicable,2025-06-01T12:31:45.458000Z,2025-06-01T13:00:13.885000Z,2025-06-22T00:01:21.835000Z,2025-06-01T13:00:14.354349Z,1709.0,2B73928C,1100,36,Female,Asian,DATA_EXPIRED,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
683c48079bd5a627de98d78e,6825c58975ae792185906b17,APPROVED,Not Applicable,2025-06-01T12:32:15.209000Z,2025-06-01T12:52:17.351000Z,2025-06-22T00:01:22.262000Z,2025-06-01T12:52:17.910358Z,1203.0,2B73928C,101,46,Male,White,United States,United States,United States,English,No,Full-Time
683c4a4eaba439ebe9edc7a7,68375d8a380d8f49d19db89c,APPROVED,Not Applicable,2025-06-01T12:40:46.368000Z,2025-06-01T12:57:50.735000Z,2025-06-22T00:01:22.765000Z,2025-06-01T12:57:51.231496Z,1025.0,2B73928C,28,32,Prefer not to say,Prefer not to say,United States,United States,United States,English,Yes,Full-Time
683c4a54c001d67f0d303423,55ac3198fdf99b6de3b68b23,APPROVED,Not Applicable,2025-06-01T12:45:56.234000Z,2025-06-01T13:03:09.917000Z,2025-06-22T00:01:23.157000Z,2025-06-01T13:03:10.421479Z,1034.0,2B73928C,5494,60,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
683c4d06805eba519e194c1e,62fd14d7b1e0729dc8aadb79,APPROVED,Not Applicable,2025-06-01T12:58:36.229000Z,2025-06-01T13:18:45.926000Z,2025-06-22T00:01:23.605000Z,2025-06-01T13:18:46.418328Z,1210.0,2B73928C,1872,33,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
683c4e3e954dbe13ddeb2f04,6645ead2d999bda561f525ea,APPROVED,Not Applicable,2025-06-01T12:57:49.059000Z,2025-06-01T13:21:41.281000Z,2025-06-22T00:01:24.022000Z,2025-06-01T13:21:41.835447Z,1433.0,2B73928C,965,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
683c4e4edfcaad1b30330e55,60fa23798a416fb0d9e4ec76,APPROVED,Not Applicable,2025-06-01T12:57:50.743000Z,2025-06-01T13:24:21.581000Z,2025-06-22T00:01:24.451000Z,2025-06-01T13:24:22.067231Z,1591.0,2B73928C,1453,40,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
683c4eea768cd764fa4a7802,5d29c671bc573b00165c9014,APPROVED,Not Applicable,2025-06-01T13:00:29.217000Z,2025-06-01T13:16:39.787000Z,2025-06-22T00:01:24.880000Z,2025-06-01T13:16:40.268122Z,971.0,2B73928C,2558,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
683c4fa3f1581dda5220addc,5d595e7b6c04b2001a1edb29,APPROVED,Not Applicable,2025-06-01T13:03:35.319000Z,2025-06-01T13:34:51.532000Z,2025-06-22T00:01:25.304000Z,2025-06-01T13:34:52.022294Z,1877.0,2B73928C,1268,54,Male,Black,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
683c52e8fdb831c44921da41,6726b535f9fbef5487989210,APPROVED,Not Applicable,2025-06-01T13:17:34.422000Z,2025-06-01T13:36:50.126000Z,2025-06-22T00:01:25.686000Z,2025-06-01T13:36:50.684021Z,1156.0,2B73928C,504,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
683c53b6ee68ea2e462c3ee2,67ec83bf32bd364be7ec316d,APPROVED,Not Applicable,2025-06-01T13:22:15.946000Z,2025-06-01T13:45:46.897000Z,2025-06-22T00:01:26.147000Z,2025-06-01T13:45:47.385100Z,1411.0,2B73928C,692,44,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
683c5429becdf633e9cd27f4,6694251bbfc3e4a246f8125a,APPROVED,Not Applicable,2025-06-01T13:22:52.793000Z,2025-06-01T13:49:04.291000Z,2025-06-22T00:01:26.566000Z,2025-06-01T13:49:04.786608Z,1572.0,2B73928C,1853,52,Female,White,United States,United States,United States,English,No,Full-Time
