correct,verb,item,condition,sentence,rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,ITEM1_TYPE,ITEM2,ITEM1,SESSION,ITEM2_TYPE,PARTICIPANT
Y,want,D15,DOUBLE_CONTROL,Sandra-the-Urbanite wants to eat a lollipop or a biscuit,10686,a lollipop or a biscuit,b,html-keyboard-response,4,2.1.0,112104,wants,a biscuit,a lollipop,PRACTICE,,683735a1d92eafa1ffbf9348
Y,want,S15,SINGLE_CONTROL,Sandra-the-Nomad wants to eat an apple,2916,an apple,n,html-keyboard-response,10,2.1.0,121688,wants,,an apple,PRACTICE,,683735a1d92eafa1ffbf9348
Y,does not mind,E18,DOUBLE_CONTROL_MIND,Anthony-the-Urbanite is does not mind eating a meatball or a kebab,2029,a meatball or a kebab,b,html-keyboard-response,17,2.1.0,129717,accepts,a kebab,a meatball,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D11,DOUBLE_CONTROL,Sarah-the-Urbanite wants to eat a cranberry or a grapefruit,2155,a cranberry or a grapefruit,n,html-keyboard-response,23,2.1.0,136928,dislikes,a grapefruit,a cranberry,PRACTICE,,683735a1d92eafa1ffbf9348
Y,want,S10,SINGLE_CONTROL,Patricia-the-Nomad wants to eat a cranberry,1863,a cranberry,n,html-keyboard-response,29,2.1.0,142635,wants,,a cranberry,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,F8,SINGLE_CONTROL_MIND,William-the-Urbanite does not mind eating a grapefruit,1793,a grapefruit,n,html-keyboard-response,36,2.1.0,149805,dislikes,,a grapefruit,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D17,DOUBLE_CONTROL,Susan-the-Urbanite wants to eat a meatball or a kebab,969,a meatball or a kebab,b,html-keyboard-response,42,2.1.0,155798,accepts,a kebab,a meatball,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S17,SINGLE_CONTROL,Susan-the-Nomad wants to eat a meatball,1086,a meatball,n,html-keyboard-response,48,2.1.0,161097,accepts,,a meatball,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S1,SINGLE_CONTROL,Michael-the-Urbanite wants to eat a strawberry,3370,a strawberry,n,html-keyboard-response,54,2.1.0,168216,dislikes,,a strawberry,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,E4,DOUBLE_CONTROL_MIND,Barbara-the-Nomad is does not mind eating a chocolate or a brownie,2533,a chocolate or a brownie,n,html-keyboard-response,61,2.1.0,174781,dislikes,a brownie,a chocolate,PRACTICE,,683735a1d92eafa1ffbf9348
Y,does not mind,E3,DOUBLE_CONTROL_MIND,Dorothy-the-Nomad is does not mind eating a steak or beef,1228,a steak or beef,n,html-keyboard-response,68,2.1.0,179908,accepts,beef,a steak,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,E9,DOUBLE_CONTROL_MIND,Margaret-the-Nomad is does not mind eating a cookie or a chocolate,2809,a cookie or a chocolate,n,html-keyboard-response,75,2.1.0,186943,dislikes,a chocolate,a cookie,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D1,DOUBLE_CONTROL,Michael-the-Nomad wants to eat a chocolate or a brownie,4902,a chocolate or a brownie,n,html-keyboard-response,81,2.1.0,195387,dislikes,a brownie,a chocolate,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S12,SINGLE_CONTROL,Linda-the-Nomad wants to eat a kebab,1948,a kebab,b,html-keyboard-response,87,2.1.0,201003,accepts,,a kebab,PRACTICE,,683735a1d92eafa1ffbf9348
Y,want,S5,SINGLE_CONTROL,Elizabeth-the-Urbanite wants to eat a cookie,2570,a cookie,b,html-keyboard-response,93,2.1.0,207758,wants,,a cookie,PRACTICE,,683735a1d92eafa1ffbf9348
Y,want,D5,DOUBLE_CONTROL,Elizabeth-the-Nomad wants to eat a grapefruit or a strawberry,1812,a grapefruit or a strawberry,n,html-keyboard-response,99,2.1.0,214654,wants,a strawberry,a grapefruit,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,F18,SINGLE_CONTROL_MIND,Anthony-the-Nomad does not mind eating a lollipop,1282,a lollipop,n,html-keyboard-response,106,2.1.0,219839,dislikes,,a lollipop,PRACTICE,,683735a1d92eafa1ffbf9348
Y,does not mind,E8,DOUBLE_CONTROL_MIND,William-the-Nomad is does not mind eating a burger or a steak,1467,a burger or a steak,n,html-keyboard-response,113,2.1.0,225843,accepts,a steak,a burger,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D12,DOUBLE_CONTROL,Linda-the-Urbanite wants to eat a kebab or a burger,2994,a kebab or a burger,n,html-keyboard-response,119,2.1.0,232466,accepts,a burger,a kebab,PRACTICE,,683735a1d92eafa1ffbf9348
Y,does not mind,F4,SINGLE_CONTROL_MIND,Barbara-the-Urbanite does not mind eating a steak,2481,a steak,b,html-keyboard-response,126,2.1.0,238591,accepts,,a steak,PRACTICE,,683735a1d92eafa1ffbf9348
Y,want,D10,DOUBLE_CONTROL,Patricia-the-Urbanite wants to eat a biscuit or a cookie,2329,a biscuit or a cookie,n,html-keyboard-response,132,2.1.0,244700,wants,a cookie,a biscuit,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D6,DOUBLE_CONTROL,Nancy-the-Nomad wants to eat a cookie or a chocolate,1673,a cookie or a chocolate,n,html-keyboard-response,138,2.1.0,249950,dislikes,a chocolate,a cookie,PRACTICE,,683735a1d92eafa1ffbf9348
Y,does not mind,E13,DOUBLE_CONTROL_MIND,Andrew-the-Urbanite is does not mind eating a kebab or a burger,1321,a kebab or a burger,b,html-keyboard-response,145,2.1.0,256119,accepts,a burger,a kebab,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,E14,DOUBLE_CONTROL_MIND,Matthew-the-Urbanite is does not mind eating a cranberry or a grapefruit,1731,a cranberry or a grapefruit,n,html-keyboard-response,152,2.1.0,261928,dislikes,a grapefruit,a cranberry,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S7,SINGLE_CONTROL,Daniel-the-Urbanite wants to eat a burger,1816,a burger,b,html-keyboard-response,158,2.1.0,267179,accepts,,a burger,PRACTICE,,683735a1d92eafa1ffbf9348
Y,does not mind,F19,SINGLE_CONTROL_MIND,Jennifer-the-Nomad does not mind eating a meatball,1618,a meatball,b,html-keyboard-response,165,2.1.0,273247,accepts,,a meatball,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,E19,DOUBLE_CONTROL_MIND,Jennifer-the-Urbanite is does not mind eating an apple or a cranberry,1506,an apple or a cranberry,n,html-keyboard-response,172,2.1.0,280253,dislikes,a cranberry,an apple,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S16,SINGLE_CONTROL,Ashley-the-Nomad wants to eat a lollipop,2133,a lollipop,b,html-keyboard-response,178,2.1.0,285955,dislikes,,a lollipop,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,F13,SINGLE_CONTROL_MIND,Andrew-the-Nomad does not mind eating a biscuit,1850,a biscuit,n,html-keyboard-response,185,2.1.0,292023,dislikes,,a biscuit,PRACTICE,,683735a1d92eafa1ffbf9348
N,does not mind,F3,SINGLE_CONTROL_MIND,Dorothy-the-Urbanite does not mind eating a strawberry,2489,a strawberry,n,html-keyboard-response,192,2.1.0,298080,dislikes,,a strawberry,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D7,DOUBLE_CONTROL,Daniel-the-Nomad wants to eat a burger or a steak,2032,a burger or a steak,b,html-keyboard-response,198,2.1.0,303460,accepts,a steak,a burger,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S2,SINGLE_CONTROL,Christopher-the-Urbanite wants to eat a steak,3583,a steak,b,html-keyboard-response,204,2.1.0,310927,accepts,,a steak,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D16,DOUBLE_CONTROL,Ashley-the-Urbanite wants to eat an apple or a cranberry,1018,an apple or a cranberry,n,html-keyboard-response,210,2.1.0,315748,dislikes,a cranberry,an apple,PRACTICE,,683735a1d92eafa1ffbf9348
Y,want,D0,DOUBLE_CONTROL,Charles-the-Nomad wants to eat a strawberry or a peach,1031,a strawberry or a peach,n,html-keyboard-response,216,2.1.0,320329,wants,a peach,a strawberry,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,S6,SINGLE_CONTROL,Nancy-the-Urbanite wants to eat a grapefruit,930,a grapefruit,n,html-keyboard-response,222,2.1.0,325192,dislikes,,a grapefruit,PRACTICE,,683735a1d92eafa1ffbf9348
N,want,D2,DOUBLE_CONTROL,Christopher-the-Nomad wants to eat a steak or beef,1182,a steak or beef,b,html-keyboard-response,228,2.1.0,329646,accepts,beef,a steak,PRACTICE,,683735a1d92eafa1ffbf9348
